Route ID:,Route Location:,Is this route predominantly residential or commercial/industrial/mixed use?,Select the statement that best describes the amount and distribution of litter in the street.,ObjectID,Does litter obstruct the street?,Select the statement that best describes the amount and distribution of litter on the sidewalk.,How many large abandoned items are present?,What types of items are present? (select all that apply),Other dumped items:,Does illegal dumping obstruct the street?,How many instances of graffiti are present on private property or on the sidewalk or non-painted curb immediately adjacent to private property?,How many instances of graffiti are present on SF gov property?,How many instances of graffiti are present on other property?,Select the statement that best describes the amount and distribution of broken glass on the street and sidewalk:,How many instances of broken glass are present along the sidewalk and street?,How many instances of feces are present?,How many abandoned syringes are present?,How many used or opened condoms are present?,How many dead animals are present?,Does the route have one or more trash receptacles?,Are any trash receptacles overflowing?,Is sidewalk clearance less than 4 feet wide or 8 feet high at any point?,"If yes, identify the cause (select all that apply)",Other sidewalk obstructions:,Does the sidewalk have any defects that have not been marked for repair?,Does the sidewalk have any marked defects that have not been repaired?,How severe are the pavement defects?,Do you detect any strong unpleasant or offensive odors along the street or sidewalk?,"If yes, is the odor from a sewer or catch basin?",Does the route have one or more transit shelters?,Which of the following issues are present in or on any of the transit shelters along the route?,CreationDate,Analysis Neighborhoods,Evaluation Period,"Does any graffiti include offensive language  (e.g., racial slurs or profanity)?",Does any graffiti appear to be stenciled?,"Are there closed, unlabeled trash bags grouped together? (July 2023-June 2024 only)",Is the pile of item(s) more than 8ft in diameter? (July 2023-June 2024 only)
15813,Van Ness Ave BETWEEN Greenwich St AND Lombard St,1,4,2457,0,4,0,,,,1,16,0,1,,1,0,0,0,1,0,0,,,0,0,,0,,0,,10/04/2022 04:31:35 PM,"15 - Russian Hill, Nob Hill, North Beach",January 2022 - December 2022,0,0,,
15813,VAN NESS AVE BETWEEN GREENWICH ST AND LOMBARD ST,1,2,2457,0,2,0,,,,1,18,0,1,,0,0,0,0,1,0,0,,,0,0,,0,,0,,01/09/2024 10:54:36 PM,"15 - Russian Hill, Nob Hill, North Beach",July 2023 - June 2024,0,0,,
636,PACHECO ST BETWEEN 19TH AVE AND 20TH AVE,2,2,1,0,4,1,4,,0,0,0,6,1,,0,0,0,0,0,0,0,,,1,0,1,0,,0,,08/17/2023 04:26:51 PM,12 - Sunset/Parkside,July 2023 - June 2024,0,0,0,0
9616,GREAT HWY BETWEEN LINCOLN WAY AND IRVING ST,1,2,9,0,2,1,16,,0,4,4,2,1,,0,0,0,0,0,0,0,,,0,0,,0,,0,,08/17/2023 07:43:39 PM,12 - Sunset/Parkside,July 2023 - June 2024,0,0,0,0
1497,42ND AVE BETWEEN LINCOLN WAY AND IRVING ST,2,2,12,0,3,2,516,,0,2,1,6,1,,0,0,0,0,0,0,0,,,1,0,1,0,,0,,08/17/2023 08:42:13 PM,12 - Sunset/Parkside,July 2023 - June 2024,0,0,0,0
603,LINCOLN WAY BETWEEN 35TH AVE AND 36TH AVE,2,2,16,0,2,2,165,,0,0,1,1,1,,0,0,0,0,0,0,0,,,0,0,,0,,0,,08/17/2023 09:46:26 PM,12 - Sunset/Parkside,July 2023 - June 2024,0,0,0,0
1673,BRODERICK ST BETWEEN GOLDEN GATE AVE AND TURK ST,2,2,21,0,2,1,15,,0,3,3,0,1,,0,0,0,0,0,0,0,,,1,1,2,0,,0,,08/18/2023 04:45:17 PM,22 - Western Addition,July 2023 - June 2024,0,0,0,0
1220,06TH AVE BETWEEN CALIFORNIA ST AND CORNWALL ST,1,2,33,0,3,1,5,,0,0,11,4,1,,1,0,0,0,0,0,0,,,0,0,,0,,0,,08/18/2023 09:25:06 PM,"13 - Presidio Heights, Lone Mountain/USF, Inner Richmond",July 2023 - June 2024,0,0,0,0
1219,06TH AVE BETWEEN CORNWALL ST AND CLEMENT ST,2,2,37,0,2,1,19,,0,9,20,1,1,,0,0,0,0,1,0,0,,,0,0,,0,,1,1,08/18/2023 10:36:46 PM,"13 - Presidio Heights, Lone Mountain/USF, Inner Richmond",July 2023 - June 2024,0,0,0,0
4161,ANZA ST BETWEEN 04TH AVE AND 05TH AVE,2,2,38,0,3,2,417,,0,2,2,0,1,,1,0,0,0,0,0,0,,,1,0,2,0,,0,,08/18/2023 10:55:36 PM,"13 - Presidio Heights, Lone Mountain/USF, Inner Richmond",July 2023 - June 2024,0,0,0,0
11229,FUNSTON AVE BETWEEN GEARY BLVD AND ANZA ST,2,2,39,0,2,2,17,,0,5,7,1,2,1,2,0,0,0,1,0,1,10,,1,0,3,0,,0,,08/19/2023 12:02:17 AM,"13 - Presidio Heights, Lone Mountain/USF, Inner Richmond",July 2023 - June 2024,0,0,0,0
