neighborhood,location,time,count
24th Street,Temo’s Cafe,"November 2, 2024, 10:00 AM",5
24th Street,Temo’s Cafe,"November 16, 2024, 10:00 AM",3
24th Street,Temo’s Cafe,"December 14, 2024, 10:00 AM",1
24th Street,Temo’s Cafe,"January 4, 2025, 11:00 AM",3
24th Street,Temo’s Cafe,"January 18, 2025, 11:00 AM",1
Bayview,All Good Pizza,"October 7, 2023, 12:00 AM",6
Bayview,All Good Pizza,"October 14, 2023, 12:00 AM",6
Bayview,All Good Pizza,"October 21, 2023, 12:00 AM",5
Bayview,All Good Pizza,"October 28, 2023, 12:00 AM",3
Bayview,All Good Pizza,"November 11, 2023, 12:00 AM",6
Bayview,All Good Pizza,"December 2, 2023, 12:00 AM",2
Bayview,All Good Pizza,"December 9, 2023, 12:00 AM",3
Bayview,All Good Pizza,"December 16, 2023, 12:00 AM",2
Bayview,All Good Pizza,"January 6, 2024, 12:00 AM",4
Bayview,All Good Pizza,"January 13, 2024, 12:00 AM",5
Bayview,All Good Pizza,"January 27, 2024, 12:00 AM",8
Bayview,All Good Pizza,"February 24, 2024, 12:00 AM",4
Bayview,All Good Pizza,"March 9, 2024, 12:00 AM",8
Bayview,All Good Pizza,"March 16, 2024, 12:00 AM",5
Bayview,All Good Pizza,"March 23, 2024, 12:00 AM",5
Bayview,All Good Pizza,"March 30, 2024, 12:00 AM",5
Bayview,All Good Pizza,"April 6, 2024, 12:00 AM",12
Bayview,All Good Pizza,"April 13, 2024, 12:00 AM",8
Bayview,All Good Pizza,"April 20, 2024, 12:00 AM",1
Bayview,All Good Pizza,"May 11, 2024, 12:00 AM",3
Bayview,All Good Pizza,"May 18, 2024, 12:00 AM",3
Bayview,All Good Pizza,"May 25, 2024, 12:00 AM",4
Bayview,All Good Pizza,"June 1, 2024, 12:00 AM",2
Bayview,All Good Pizza,"June 8, 2024, 12:00 AM",3
Bayview,All Good Pizza,"September 21, 2024, 10:00 AM",5
Fillmore,The Social Study,"August 19, 2023, 12:00 AM",8
Fillmore,The Social Study,"August 26, 2023, 12:00 AM",10
Fillmore,The Social Study,"September 2, 2023, 12:00 AM",9
Fillmore,The Social Study,"September 9, 2023, 12:00 AM",8
Fillmore,The Social Study,"September 16, 2023, 12:00 AM",11
Fillmore,The Social Study,"September 23, 2023, 12:00 AM",11
Fillmore,The Social Study,"September 30, 2023, 12:00 AM",7
Fillmore,The Social Study,"October 14, 2023, 12:00 AM",5
Fillmore,The Social Study,"October 21, 2023, 12:00 AM",5
Fillmore,The Social Study,"October 28, 2023, 12:00 AM",13
Fillmore,The Social Study,"November 4, 2023, 12:00 AM",17
Fillmore,The Social Study,"November 11, 2023, 12:00 AM",12
Fillmore,The Social Study,"November 18, 2023, 12:00 AM",10
Fillmore,The Social Study,"November 25, 2023, 12:00 AM",10
Fillmore,The Social Study,"December 2, 2023, 12:00 AM",14
Fillmore,The Social Study,"December 9, 2023, 12:00 AM",12
Fillmore,The Social Study,"December 16, 2023, 12:00 AM",12
Fillmore,The Social Study,"December 23, 2023, 12:00 AM",9
Fillmore,The Social Study,"December 30, 2023, 12:00 AM",11
Fillmore,The Social Study,"January 6, 2024, 12:00 AM",14
Fillmore,The Social Study,"January 13, 2024, 12:00 AM",9
Fillmore,The Social Study,"January 20, 2024, 12:00 AM",9
Fillmore,The Social Study,"January 27, 2024, 12:00 AM",16
Fillmore,The Social Study,"February 3, 2024, 12:00 AM",15
Fillmore,The Social Study,"February 10, 2024, 12:00 AM",14
Fillmore,The Social Study,"February 17, 2024, 12:00 AM",4
Fillmore,The Social Study,"February 24, 2024, 12:00 AM",11
Fillmore,The Social Study,"March 2, 2024, 12:00 AM",14
Fillmore,The Social Study,"March 9, 2024, 12:00 AM",11
Fillmore,The Social Study,"March 16, 2024, 12:00 AM",11
Fillmore,The Social Study,"March 23, 2024, 12:00 AM",15
Fillmore,The Social Study,"March 30, 2024, 12:00 AM",13
Fillmore,The Social Study,"April 6, 2024, 12:00 AM",12
Fillmore,The Social Study,"April 13, 2024, 12:00 AM",10
Fillmore,The Social Study,"April 20, 2024, 12:00 AM",14
Fillmore,The Social Study,"April 27, 2024, 12:00 AM",14
Fillmore,The Social Study,"May 4, 2024, 12:00 AM",4
Fillmore,The Social Study,"May 11, 2024, 12:00 AM",16
Fillmore,The Social Study,"May 18, 2024, 12:00 AM",12
Fillmore,The Social Study,"May 25, 2024, 12:00 AM",9
Fillmore,The Social Study,"June 1, 2024, 12:00 AM",9
Fillmore,The Social Study,"June 8, 2024, 12:00 AM",6
Fillmore,The Social Study,"June 15, 2024, 12:00 AM",14
Fillmore,The Social Study,"June 22, 2024, 12:00 PM",1
Fillmore,The Social Study,"June 29, 2024, 12:00 PM",20
Fillmore,The Social Study,"July 13, 2024, 12:00 PM",19
Fillmore,The Social Study,"July 20, 2024, 12:00 PM",20
Fillmore,The Social Study,"August 10, 2024, 10:00 AM",20
Hayes Valley,Gambit Lounge,"May 13, 2023, 12:00 AM",13
Hayes Valley,Gambit Lounge,"June 3, 2023, 12:00 AM",11
Hayes Valley,Gambit Lounge,"June 10, 2023, 12:00 AM",17
Hayes Valley,Gambit Lounge,"June 17, 2023, 12:00 AM",10
Hayes Valley,Gambit Lounge,"June 24, 2023, 12:00 AM",16
Hayes Valley,Gambit Lounge,"July 1, 2023, 12:00 AM",6
Hayes Valley,Gambit Lounge,"July 8, 2023, 10:00 AM",7
Hayes Valley,Gambit Lounge,"July 15, 2023, 10:00 AM",18
Hayes Valley,Gambit Lounge,"July 20, 2023, 10:00 AM",19
Hayes Valley,Gambit Lounge,"July 29, 2023, 10:00 AM",21
Hayes Valley,Gambit Lounge,"August 5, 2023, 10:00 AM",26
Hayes Valley,Gambit Lounge,"August 12, 2023, 10:00 AM",28
Hayes Valley,Gambit Lounge,"August 19, 2023, 10:00 AM",27
Hayes Valley,Gambit Lounge,"August 26, 2023, 10:00 AM",25
Hayes Valley,Gambit Lounge,"September 2, 2023, 10:00 AM",33
Hayes Valley,Gambit Lounge,"September 9, 2023, 10:00 AM",23
Hayes Valley,Gambit Lounge,"September 16, 2023, 9:40 AM",23
Hayes Valley,Gambit Lounge,"September 23, 2023, 10:00 AM",36
Hayes Valley,Gambit Lounge,"September 30, 2023, 10:00 AM",24
Hayes Valley,Gambit Lounge,"October 7, 2023, 10:00 AM",25
Hayes Valley,Gambit Lounge,"October 14, 2023, 10:00 AM",23
Hayes Valley,Gambit Lounge,"October 21, 2023, 10:00 AM",1
Hayes Valley,Gambit Lounge,"October 28, 2023, 9:33 AM",21
Hayes Valley,Gambit Lounge,"November 4, 2023, 10:00 AM",39
Hayes Valley,Gambit Lounge,"November 11, 2023, 9:45 AM",26
Hayes Valley,Gambit Lounge,"November 17, 2023, 10:00 AM",28
Hayes Valley,Gambit Lounge,"November 25, 2023, 10:00 AM",12
Hayes Valley,Gambit Lounge,"December 2, 2023, 10:00 AM",31
Hayes Valley,Gambit Lounge,"December 9, 2023, 9:39 AM",34
Hayes Valley,Gambit Lounge,"December 16, 2023, 10:00 AM",17
Hayes Valley,Gambit Lounge,"December 17, 2023, 9:21 AM",1
Hayes Valley,Gambit Lounge,"December 23, 2023, 10:00 AM",29
Hayes Valley,Gambit Lounge,"December 30, 2023, 10:00 AM",26
Hayes Valley,Gambit Lounge,"January 6, 2024, 10:00 AM",22
Hayes Valley,Gambit Lounge,"January 13, 2024, 10:00 AM",20
Hayes Valley,Gambit Lounge,"January 20, 2024, 10:00 AM",21
Hayes Valley,Gambit Lounge,"January 27, 2024, 10:00 AM",23
Hayes Valley,Gambit Lounge,"February 3, 2024, 10:00 AM",26
Hayes Valley,Gambit Lounge,"February 10, 2024, 10:00 AM",22
Hayes Valley,Gambit Lounge,"February 17, 2024, 9:09 AM",19
Hayes Valley,Gambit Lounge,"February 24, 2024, 10:00 AM",45
Hayes Valley,Gambit Lounge,"March 2, 2024, 9:35 AM",26
Hayes Valley,Gambit Lounge,"March 9, 2024, 9:56 AM",34
Hayes Valley,Gambit Lounge,"March 16, 2024, 10:00 AM",26
Hayes Valley,Gambit Lounge,"March 23, 2024, 10:00 AM",45
Hayes Valley,Gambit Lounge,"March 30, 2024, 10:00 AM",58
Hayes Valley,Gambit Lounge,"April 6, 2024, 10:00 AM",34
Hayes Valley,Gambit Lounge,"April 13, 2024, 10:01 AM",40
Hayes Valley,Gambit Lounge,"April 20, 2024, 10:00 AM",37
Hayes Valley,Gambit Lounge,"April 27, 2024, 10:00 AM",31
Hayes Valley,Gambit Lounge,"May 4, 2024, 10:00 AM",26
Hayes Valley,Gambit Lounge,"May 11, 2024, 10:00 AM",31
Hayes Valley,Gambit Lounge,"May 18, 2024, 10:00 AM",36
Hayes Valley,Gambit Lounge,"May 25, 2024, 10:00 AM",33
Hayes Valley,Gambit Lounge,"June 1, 2024, 10:00 AM",34
Hayes Valley,Gambit Lounge,"June 8, 2024, 10:00 AM",40
Hayes Valley,Gambit Lounge,"June 15, 2024, 9:22 AM",37
Hayes Valley,Gambit Lounge,"June 22, 2024, 10:00 AM",31
Hayes Valley,Gambit Lounge,"June 28, 2024, 10:00 AM",25
Hayes Valley,Gambit Lounge,"June 29, 2024, 10:00 AM",25
Hayes Valley,Gambit Lounge,"July 6, 2024, 10:00 AM",24
Hayes Valley,Gambit Lounge,"July 13, 2024, 10:00 AM",29
Hayes Valley,Gambit Lounge,"July 20, 2024, 8:40 AM",29
Hayes Valley,Gambit Lounge,"July 27, 2024, 9:40 AM",28
Hayes Valley,Gambit Lounge,"August 3, 2024, 10:00 AM",44
Hayes Valley,Gambit Lounge,"August 10, 2024, 8:48 AM",29
Hayes Valley,Gambit Lounge,"August 17, 2024, 10:00 AM",30
Hayes Valley,Gambit Lounge,"August 24, 2024, 10:00 AM",19
Hayes Valley,Gambit Lounge,"August 31, 2024, 10:00 AM",33
Hayes Valley,Gambit Lounge,"September 7, 2024, 9:55 AM",31
Hayes Valley,Gambit Lounge,"September 14, 2024, 10:00 AM",24
Hayes Valley,Gambit Lounge,"September 21, 2024, 10:00 AM",33
Hayes Valley,Gambit Lounge,"September 28, 2024, 9:23 AM",38
Hayes Valley,Gambit Lounge,"October 5, 2024, 10:00 AM",21
Hayes Valley,Gambit Lounge,"October 12, 2024, 10:00 AM",31
Hayes Valley,Gambit Lounge,"October 18, 2024, 10:00 AM",1
Hayes Valley,Gambit Lounge,"October 19, 2024, 10:00 AM",34
Hayes Valley,Gambit Lounge,"October 26, 2024, 10:00 AM",30
Hayes Valley,Gambit Lounge,"November 2, 2024, 9:50 AM",32
