"Route ID:","Route Location:","X (Longitude)","Y (Latitude)"
6935,"01St St BETWEEN Folsom St AND Guy Pl",-122.39420111,37.78707499
6925,"01ST ST BETWEEN GUY PL AND LANSING ST",-122.39368284,37.78666205
6854,"01ST ST BETWEEN HARRISON ST AND END: 400-450 BLOCK",-122.39258948,37.78579161
7337,"01St St BETWEEN Howard St AND Tehama St",-122.39575636,37.78831406
6095,"02nd Ave BETWEEN Anza St AND Balboa St",-122.4597926,37.77835625
3668,"02ND ST BETWEEN BRANNAN ST AND TOWNSEND ST",-122.39130233,37.78122647
3743,"02ND ST BETWEEN BRYANT ST AND BRANNAN ST",-122.39345765,37.7829496
4590,"02ND ST BETWEEN HOWARD ST AND FOLSOM ST",-122.39696982,37.78575306
5034,"02ND ST BETWEEN MISSION ST AND HOWARD ST",-122.39952654,37.78779322
3667,"02nd St BETWEEN Townsend St AND King St",-122.39005896,37.78023402
2628,"03RD AVE BETWEEN ANZA ST AND BALBOA ST",-122.4608638,37.7783075
3496,"03RD AVE BETWEEN CALIFORNIA ST AND CORNWALL ST",-122.46135253,37.78518001
3226,"03RD AVE BETWEEN GEARY BLVD AND ANZA ST",-122.46099705,37.78019747
2450,"03RD AVE BETWEEN HUGO ST AND IRVING ST",-122.45992028,37.76478781
2464,"03RD AVE BETWEEN LINCOLN WAY AND HUGO ST",-122.45998471,37.76571128
6536,"03rd St BETWEEN 19th St AND 20th St",-122.38868253,37.76112516
6534,"03rd St BETWEEN 20th St AND 22nd St",-122.38850516,37.75921121
6487,"03RD ST BETWEEN 24TH ST AND 25TH ST",-122.38775416,37.75347851
6242,"03rd St BETWEEN Armstrong Ave AND Bancroft Ave",-122.39379117,37.72662604
7543,"03RD ST BETWEEN BERRY ST AND CHANNEL ST",-122.39074109,37.77725285
7547,"03RD ST BETWEEN BRYANT ST AND BRANNAN ST",-122.39568063,37.7811917
6451,"03RD ST BETWEEN CARGO WAY AND BURKE AVE",-122.38708086,37.74561064
7451,"03RD ST BETWEEN CARROLL AVE AND EGBERT AVE",-122.39436094,37.72508098
6241,"03RD ST BETWEEN CHINA BASIN ST AND MISSION BAY BLVD NORTH",-122.38950929,37.77155754
5356,"03RD ST BETWEEN CLEMENTINA ST AND FOLSOM ST",-122.39919508,37.78399929
1044,"03RD ST BETWEEN FOLSOM ST AND HARRISON ST",-122.39843663,37.78339142
7201,"03RD ST BETWEEN HUDSON AVE AND INNES AVE",-122.38883978,37.73991232
6993,"03RD ST BETWEEN INNES AVE AND NEWHALL ST",-122.3892293,37.73915216
6736,"03RD ST BETWEEN LA SALLE AVE AND MCKINNON AVE",-122.38994986,37.73676623
6288,"03RD ST BETWEEN LANE ST AND YOSEMITE AVE",-122.39300589,37.72809624
6548,"03RD ST BETWEEN MARIPOSA ST AND 18TH ST",-122.38873694,37.7636861
6574,"03RD ST BETWEEN MISSION BAY BLVD NORTH AND MISSION BAY BLVD SOUTH",-122.3895563,37.77088025
6422,"03rd St BETWEEN Oakdale Ave AND Palou Ave",-122.39088606,37.73442001
6399,"03RD ST BETWEEN PALOU AVE AND QUESADA AVE",-122.39105435,37.7336053
6385,"03RD ST BETWEEN QUESADA AVE AND REVERE AVE",-122.39133102,37.73281454
7541,"03RD ST BETWEEN TERRY A FRANCOIS BLVD AND CHANNEL",-122.38994502,37.77542566
6316,"03RD ST BETWEEN THORNTON AVE AND WILLIAMS AVE",-122.39219706,37.73034544
6023,"04TH AVE BETWEEN CALIFORNIA ST AND CORNWALL ST",-122.46242887,37.78508649
6024,"04TH AVE BETWEEN LAKE ST AND CALIFORNIA ST",-122.462494,37.78601709
16515,"04TH ST BETWEEN CAMPUS WAY AND 16TH ST",-122.39084379,37.76729013
5876,"04TH ST BETWEEN FOLSOM ST AND HARRISON ST",-122.40088639,37.78180597
16516,"04TH ST BETWEEN GENE FRIEND WAY AND CAMPUS WAY",-122.3909354,37.76824842
3205,"04TH ST BETWEEN HOWARD ST AND FOLSOM ST",-122.40220218,37.78285599
17079,"04TH ST BETWEEN LONG BRIDGE VARA AND LONG BRIDGE ST",-122.391488,37.77354
16521,"04TH ST BETWEEN MISSION ROCK ST AND 04TH ST",-122.41525097,37.78455299
5907,"04TH ST BETWEEN MISSION ST AND HOWARD ST",-122.40320995,37.78365184
16517,"04TH ST BETWEEN UCSF LN AND GENE FRIEND WAY",-122.3910254,37.76918978
5726,"05TH AVE BETWEEN CABRILLO ST AND FULTON ST",-122.46274427,37.77458883
5786,"05TH AVE BETWEEN CALIFORNIA ST AND CORNWALL ST",-122.46349309,37.78499318
5738,"05th Ave BETWEEN Geary Blvd AND Anza St",-122.46314343,37.78010439
5725,"05th Ave BETWEEN Lincoln Way AND Hugo St",-122.46212903,37.76563584
8969,"05TH ST BETWEEN BRYANT ST AND WELSH ST",-122.40003017,37.7775855
1234,"05TH ST BETWEEN FOLSOM ST AND HARRISON ST",-122.40311391,37.78004675
