object_id,route_id,geom
4731,7636,POINT (-122.410967786767 37.8049997812882)
4859,12977,POINT (-122.441871430927 37.7991841354243)
4868,5120,POINT (-122.498844659793 37.7355025508078)
4850,1125,POINT (-122.438377362155 37.7986579074155)
4865,6871,POINT (-122.381897070762 37.728322575003)
1471,4073,POINT (-122.418672994119 37.7467677243877)
4746,13950,POINT (-122.401753003078 37.7807265613583)
4737,6247,POINT (-122.403259015592 37.7908976871501)
4749,691,POINT (-122.39619892281 37.7859770835586)
1730,6990,POINT (-122.424667342645 37.7702621142086)
4856,991,POINT (-122.443751686419 37.7956316760065)
4725,10749,POINT (-122.414433008737 37.7501059859013)
4871,7581,POINT (-122.444355683091 37.7675162255345)
4734,16499,POINT (-122.414426668856 37.8012478448364)
2248,16142,POINT (-122.406541332727 37.7652748484562)
5023,429,POINT (-122.41204022476 37.7655253658786)
1361,4858,POINT (-122.464677528324 37.7314223178219)
5044,3972,POINT (-122.430009145082 37.7427436199663)
5020,15195,POINT (-122.420947934054 37.7833742733039)
5032,7895,POINT (-122.415578203558 37.7677368189832)
60,2825,POINT (-122.432557159662 37.7578255102789)
5035,646,POINT (-122.413475351691 37.769008979814)
1367,2556,POINT (-122.46109734368 37.7253665657571)
298,6312,POINT (-122.459041148619 37.7111967067577)
4782,7707,POINT (-122.444382435035 37.746161952385)
5029,10160,POINT (-122.417635817371 37.7663333568976)
5017,4715,POINT (-122.422391043734 37.7822545112014)
4773,14105,POINT (-122.435011312547 37.7262875275268)
4761,10019,POINT (-122.431689579249 37.7211158747756)
4758,8278,POINT (-122.432098497047 37.7233956754353)
1376,2450,POINT (-122.460022417333 37.764861962328)
2028,13434,POINT (-122.403456367026 37.7475705676456)
4755,9420,POINT (-122.429963250925 37.7286031298226)
4770,696,POINT (-122.441790824734 37.7221806033588)
4883,423,POINT (-122.425364745081 37.7647719090199)
4779,8203,POINT (-122.434618019837 37.7336702455935)
5059,2308,POINT (-122.4007830726 37.7506953240237)
4785,2159,POINT (-122.437063767167 37.7463016358981)
5047,9588,POINT (-122.424848607645 37.7287390722323)
4794,2552,POINT (-122.404920467689 37.7531011707656)
75,8616,POINT (-122.489313341939 37.7312554475513)
3493,852,POINT (-122.405883832003 37.7304063225918)
5077,2771,POINT (-122.45188231418 37.7298827409847)
3478,12484,POINT (-122.499423272599 37.7514527529826)
3761,14129,POINT (-122.401655517315 37.7955208016088)
3490,4984,POINT (-122.420261908063 37.7304753276117)
4791,11596,POINT (-122.421422122211 37.7496697369453)
4848,9173,POINT (-122.437457290329 37.7983128764482)
4979,2969,POINT (-122.414000614927 37.7573384013649)
5104,8288,POINT (-122.394155678104 37.7679009034806)
